GLON,GLAT,z,Mbh
61.48217,69.1689,0.01133,50.481
61.80262,16.54948,0.02279,281.418
61.99002,-48.06429,0.01659,176.495
62.0544,88.00714,0.01568,101.371
62.1918,75.23245,0.00779,54.194
62.40819,65.70726,0.01409,173.858
62.55076,66.01049,0.01362,154.841
62.55292,-16.71765,0.01897,297.798
62.62592,70.175,0.0129,323.22
62.87785,23.18187,0.0216,234.043
63.13653,80.39586,0.02442,381.568
63.17583,-58.65499,0.02413,370.007
63.23017,-51.06516,0.02483,280.376
63.23835,65.98718,0.01416,67.744
63.34749,-51.60163,0.00297,6.006
63.37834,81.91808,0.02214,330.082
63.48513,88.77589,0.02307,446.82
63.49225,-23.35054,0.01695,330.696
63.68665,21.89026,0.0212,131.3
63.79111,-14.83814,0.02309,159.546
63.79988,72.89636,0.0123,304.454
63.83115,75.67023,0.01444,215.041
64.06415,53.81561,0.01492,193.0
64.09982,87.80657,0.02248,242.996
64.22684,-69.0763,0.01157,104.979
64.28762,85.01542,0.0235,400.106
64.36606,86.19653,0.02348,282.251
64.50742,72.69999,0.01301,125.799
64.69394,87.65154,0.02005,128.289
64.82715,12.35952,0.01509,129.29
64.84266,-66.74535,0.0213,200.236
64.87141,72.68254,0.01317,325.457
64.87718,50.48862,0.01498,83.255
64.87776,-20.5126,0.01657,542.107
65.05912,62.9518,0.01463,71.845
65.13861,17.61599,0.02019,242.831
65.25724,17.67271,0.01822,511.961
65.30261,69.34909,0.01072,291.747
65.52581,-50.64352,0.01658,80.245
65.57832,18.46234,0.02282,292.864
65.6648,9.64769,0.01493,71.275
65.67678,24.33692,0.00946,30.133
65.71043,-80.0219,0.00121,0.674
65.84038,81.24666,0.02437,187.761
65.86813,-54.98199,0.00954,117.439
65.90389,-72.06792,0.02444,555.499
66.13103,68.36777,0.01041,48.109
66.21709,63.58447,0.01521,144.635
66.52153,-19.46011,0.0161,118.831
66.63174,72.36896,0.01277,81.791
66.64354,80.61928,0.0155,250.557
66.76061,65.17058,0.01227,74.476
66.85259,14.78282,0.00965,62.523
66.98328,-7.55841,0.01447,393.862
66.99833,64.24663,0.01566,176.127
67.08497,81.6811,0.01622,305.198
67.26185,80.79896,0.02442,377.243
67.26915,-23.78788,0.01843,105.937
67.38296,39.76404,0.00308,5.816
67.47107,86.41123,0.01991,319.594
67.60553,-29.3693,0.01917,230.692
67.71459,80.18781,0.02476,252.632
67.75908,-69.94156,0.02467,231.562
67.77108,18.85407,0.02183,293.018
67.85431,55.30286,0.00873,130.322
67.87148,20.92579,0.01898,193.641
67.89164,82.21857,0.02338,177.006
68.04329,20.92445,0.01923,499.356
68.57508,75.08288,0.02112,202.869
68.85219,19.09157,0.0219,242.144
68.88257,8.366,0.01538,150.081
69.08503,78.49328,0.02457,226.825
69.09931,-61.2842,0.00744,313.593
69.13045,-49.29042,0.01623,274.358
69.13253,-21.67633,0.01793,264.634
69.23833,-67.90561,0.00625,112.182
69.24932,61.8415,0.01634,717.757
69.2654,-51.36484,0.01017,235.599
69.32612,72.89329,0.01253,76.248
69.37295,57.50575,0.01795,149.509
69.40571,22.30235,0.01925,246.973
69.42341,18.73209,0.0183,153.898
69.46796,54.41039,0.01891,271.212
69.67914,57.16712,0.00838,76.747
69.70198,54.37582,0.01842,353.271
69.94322,83.28434,0.01962,156.887
70.24841,53.003,0.01926,206.967
70.37588,-60.62363,0.01146,231.544
70.42011,88.15291,0.02351,182.812
70.53439,-13.2441,0.01036,39.492
70.72411,-67.42999,0.00643,23.809
70.93789,72.16016,0.01212,62.857
70.94042,-67.61461,0.00623,210.331
71.10572,-19.87172,0.01654,111.059
71.27812,69.84306,0.02078,264.847
71.32241,58.54438,0.01806,102.512
71.75601,-52.19905,0.01027,98.69
72.03281,63.95163,0.01903,139.786
72.0525,-29.73311,0.02453,439.87
72.19073,64.73737,0.019,115.489
72.23645,45.44582,0.01934,125.748
72.33669,-43.40992,0.01512,392.005
72.57977,14.43519,0.01677,184.738
72.60164,75.68742,0.02368,228.457
72.63872,82.11869,0.01814,137.979
72.67543,-49.79447,0.01656,585.546
72.70852,-17.11622,0.00961,38.968
72.70893,60.69544,0.01791,401.861
72.77381,67.62912,0.00454,82.078
72.83157,-49.8337,0.01588,79.203
72.84759,66.96108,0.01743,149.17
72.84895,27.85582,0.01901,306.175
72.8591,82.50267,0.01515,76.991
72.91597,-49.79107,0.01572,99.674
73.1181,62.98549,0.01794,527.763
73.15401,-46.59782,0.02413,544.265
73.16548,72.50353,0.01164,326.337
73.18749,-47.21462,0.01565,148.265
73.21231,38.27408,0.02417,316.981
73.27268,72.50073,0.01158,80.924
73.36483,-49.82661,0.01611,140.434
73.36645,68.45396,0.01951,142.616
73.38401,-46.05669,0.01563,88.946
73.47285,73.08759,0.01996,192.357
73.66167,-21.60801,0.01769,138.546
73.7415,-58.30838,0.01192,127.2
73.80769,67.04081,0.01824,210.886
73.81102,66.92054,0.01889,233.34
74.06661,-58.35917,0.0118,368.739
74.284,72.68986,0.01058,131.913
74.34988,76.24594,0.00355,30.576
74.39923,9.44522,0.01551,268.329
74.42247,-70.37249,0.02398,500.469
74.48998,-58.24454,0.02418,189.325
74.61967,36.38648,0.02452,297.968
74.71476,-15.90282,0.01558,581.762
74.7638,-0.9682,3.8E-4,0.396
74.84469,72.60437,0.01015,77.493
74.89382,19.67771,0.00821,91.893
74.91294,13.19868,0.01547,352.878
74.95025,-55.44858,0.01294,135.765
74.95891,69.18004,0.01823,207.573
74.96035,78.08935,0.02403,601.733
75.02806,19.78679,0.01577,206.468
75.13431,-11.14389,0.0026,35.503
75.36682,-28.95818,0.00384,86.517
75.42243,87.00196,0.02464,317.007
75.47924,34.94063,0.02417,176.943
75.55335,34.92461,0.02407,291.104
75.57584,71.65698,0.01885,124.001
75.61125,6.13163,0.01588,380.49
75.65081,6.02089,0.01559,316.594
75.73841,-22.33414,0.01877,144.916
75.75679,48.79598,0.01989,449.289
75.76323,86.83715,0.0244,223.135
75.89815,70.80961,0.0194,120.218
76.01792,-50.82115,0.0166,325.911
76.0338,48.58047,0.01961,268.485
76.07959,-55.43729,0.02315,247.629
76.12253,48.51024,0.01974,16.571
76.17289,-42.60388,0.02497,228.646
76.38364,87.22279,0.02431,189.263
76.44654,73.09241,0.01204,155.019
76.45142,73.14999,0.01914,131.605
76.50899,31.6845,0.01782,116.615
76.61014,-50.47066,0.01065,74.378
76.75285,-17.5922,0.01614,291.641
76.78019,48.12916,0.02005,172.618
76.9094,56.53499,0.01861,331.66
76.97074,-51.12603,0.01708,155.048
77.0827,71.20009,0.01802,152.684
77.19223,43.61087,0.02006,217.482
77.19262,-18.54135,0.02148,146.034
77.4545,47.20296,0.02009,195.128
77.51925,41.62578,0.0203,242.913
77.61843,-40.2713,0.00942,80.198
77.67904,87.46837,0.02071,173.586
77.69709,-44.63121,0.02458,280.641
77.9635,-50.80904,0.01609,187.065
78.21351,28.98361,0.02286,386.203
78.30244,86.90551,0.02386,426.902
